
Graph: powerlaw_500_ID3
Nodes: 500, Edges: 1984
L2A Benchmark Cut: 1458
QIGA Cut: 1463

Summary:
Total L2A Cut: 1458
Total QIGA Cut: 1463
Improvement %: 0.34

: 0.0000
Epoch: 140, Loss: 0.0000
Epoch: 160, Loss: 0.0000
Epoch: 180, Loss: 0.0000
Epoch: 200, Loss: 0.0000
Epoch: 220, Loss: 0.0000
Epoch: 240, Loss: 0.0000
Epoch: 260, Loss: 0.0000
Epoch: 280, Loss: 0.0000
Epoch: 300, Loss: 0.0000
Epoch: 320, Loss: 0.0000
Epoch: 340, Loss: 0.0000
Epoch: 360, Loss: 0.0000
Epoch: 380, Loss: 0.0000
Epoch: 400, Loss: 0.0000
Epoch: 420, Loss: 0.0000
Epoch: 440, Loss: 0.0000
Epoch: 460, Loss: 0.0000
Epoch: 480, Loss: 0.0000
Iteration: 1700, Best Cut: 1449, Progress: 56.67%
Iteration: 1800, Best Cut: 1449, Progress: 60.00%
Iteration: 1900, Best Cut: 1449, Progress: 63.33%
Iteration: 2000, Best Cut: 1449, Progress: 66.67%
Iteration: 2100, Best Cut: 1455, Progress: 70.00%
Iteration: 2200, Best Cut: 1455, Progress: 73.33%
Iteration: 2300, Best Cut: 1455, Progress: 76.67%
Iteration: 2400, Best Cut: 1455, Progress: 80.00%
Iteration: 2500, Best Cut: 1455, Progress: 83.33%
Iteration: 2600, Best Cut: 1462, Progress: 86.67%
Iteration: 2700, Best Cut: 1462, Progress: 90.00%
Iteration: 2800, Best Cut: 1462, Progress: 93.33%
Iteration: 2900, Best Cut: 1462, Progress: 96.67%
